dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.184518,9.991513,0.000200,0.020000,1.000000,50.000000,0.001898
0.020000,5.184518,9.991513,0.000800,0.040000,1.000000,0.000000,0.001651
0.020000,5.184518,9.991513,0.001800,0.060000,1.000000,-0.000000,0.001238
0.020000,5.184518,9.991513,0.003200,0.080000,1.000000,0.000000,0.000659
0.020000,5.184723,9.991513,0.005000,0.100000,1.000000,0.000000,6.283101
0.020000,5.186924,9.991512,0.007200,0.120000,1.000000,-0.000000,6.282190
0.020000,5.189523,9.991508,0.009800,0.140000,1.000000,0.000000,6.281114
0.020000,5.192524,9.991500,0.012800,0.160000,1.000000,-0.000000,6.279869
0.020000,5.195924,9.991486,0.016200,0.180000,1.000000,0.000000,6.278455
0.020000,5.199723,9.991465,0.020000,0.200000,1.000000,0.000000,6.276873
0.020000,5.203923,9.991435,0.024200,0.220000,1.000000,-0.000000,6.275120
0.020000,5.208522,9.991393,0.028800,0.240000,1.000000,0.000000,6.273195
0.020000,5.213522,9.991338,0.033800,0.260000,1.000000,0.000000,6.271097
0.020000,5.218922,9.991267,0.039200,0.280000,1.000000,0.000000,6.268825
0.020000,5.224722,9.991176,0.045000,0.300000,1.000000,-0.000000,6.266377
0.020000,5.230920,9.991064,0.051200,0.320000,1.000000,0.000000,6.263752
0.020000,5.237519,9.990926,0.057800,0.340000,1.000000,0.000000,6.260947
0.020000,5.244517,9.990760,0.064800,0.360000,1.000000,-0.000000,6.257962
0.020000,5.251914,9.990562,0.072200,0.380000,1.000000,0.000000,6.254793
0.020000,5.259711,9.990327,0.080000,0.400000,1.000000,0.000000,6.251440
0.020000,5.267906,9.990053,0.088200,0.420000,1.000000,-0.000000,6.247900
0.020000,5.276500,9.989733,0.096800,0.440000,1.000000,0.000000,6.244171
0.020000,5.285493,9.989365,0.105800,0.460000,1.000000,0.000000,6.240251
0.020000,5.294883,9.988942,0.115200,0.480000,1.000000,-0.000000,6.236137
0.020000,5.304672,9.988460,0.125000,0.500000,1.000000,0.000000,6.231827
0.020000,5.314857,9.987913,0.135200,0.520000,1.000000,0.000000,6.227319
0.020000,5.325438,9.987297,0.145800,0.540000,1.000000,0.000000,6.222610
0.020000,5.336417,9.986604,0.156800,0.560000,1.000000,0.000000,6.217697
0.020000,5.347790,9.985829,0.168200,0.580000,1.000000,-0.000000,6.212578
0.020000,5.359559,9.984965,0.180000,0.600000,1.000000,0.000000,6.207250
0.020000,5.371721,9.984006,0.192200,0.620000,1.000000,0.000000,6.201710
0.020000,5.384276,9.982944,0.204800,0.640000,1.000000,0.000000,6.195957
0.020000,5.397223,9.981773,0.217800,0.660000,1.000000,0.000000,6.189987
0.020000,5.410561,9.980485,0.231200,0.680000,1.000000,0.000000,6.183797
0.020000,5.424288,9.979071,0.245000,0.700000,1.000000,-0.000000,6.177386
0.020000,5.438404,9.977525,0.259200,0.720000,1.000000,0.000000,6.170750
0.020000,5.452906,9.975837,0.273800,0.740000,1.000000,0.000000,6.163886
0.020000,5.467793,9.973999,0.288800,0.760000,1.000000,0.000000,6.156794
0.020000,5.483063,9.972002,0.304200,0.780000,1.000000,0.000000,6.149470
0.020000,5.498714,9.969837,0.320000,0.800000,1.000000,0.000000,6.141912
0.020000,5.514743,9.967493,0.336200,0.820000,1.000000,-0.000000,6.134119
0.020000,5.531149,9.964962,0.352800,0.840000,1.000000,0.000000,6.126088
0.020000,5.547928,9.962233,0.369800,0.860000,1.000000,0.000000,6.117819
0.020000,5.565079,9.959296,0.387200,0.880000,1.000000,0.000000,6.109310
0.020000,5.582597,9.956140,0.405000,0.900000,1.000000,0.000000,6.100560
0.020000,5.600479,9.952754,0.423200,0.920000,1.000000,0.000000,6.091568
0.020000,5.618722,9.949128,0.441800,0.940000,1.000000,-0.000000,6.082335
