dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.091683,16.165016,0.000199,0.019949,0.997461,49.873051,0.001085
0.020000,5.091683,16.165016,0.000798,0.039898,0.997461,0.000000,0.000975
0.020000,5.091683,16.165016,0.001795,0.059848,0.997461,-0.000000,0.000790
0.020000,5.091683,16.165016,0.003192,0.079797,0.997461,0.000000,0.000532
0.020000,5.091683,16.165016,0.004987,0.099746,0.997461,-0.000000,0.000200
0.020000,5.092793,16.165016,0.007182,0.119695,0.997461,0.000000,6.282980
0.020000,5.095387,16.165014,0.009775,0.139645,0.997461,0.000000,6.282502
0.020000,5.098379,16.165012,0.012768,0.159594,0.997461,-0.000000,6.281949
0.020000,5.101771,16.165006,0.016159,0.179543,0.997461,0.000000,6.281324
0.020000,5.105561,16.164998,0.019949,0.199492,0.997461,-0.000000,6.280625
0.020000,5.109750,16.164986,0.024139,0.219441,0.997461,0.000000,6.279853
0.020000,5.114338,16.164968,0.028727,0.239391,0.997461,-0.000000,6.279008
0.020000,5.119326,16.164945,0.033714,0.259340,0.997461,0.000000,6.278091
0.020000,5.124712,16.164915,0.039100,0.279289,0.997461,-0.000000,6.277100
0.020000,5.130497,16.164877,0.044886,0.299238,0.997461,-0.000000,6.276038
0.020000,5.136681,16.164829,0.051070,0.319188,0.997461,0.000000,6.274903
0.020000,5.143264,16.164771,0.057653,0.339137,0.997461,-0.000000,6.273696
0.020000,5.150246,16.164700,0.064635,0.359086,0.997461,0.000000,6.272417
0.020000,5.157627,16.164615,0.072017,0.379035,0.997461,-0.000000,6.271067
0.020000,5.165406,16.164516,0.079797,0.398984,0.997461,0.000000,6.269645
0.020000,5.173585,16.164399,0.087976,0.418934,0.997461,0.000000,6.268153
0.020000,5.182162,16.164263,0.096554,0.438883,0.997461,0.000000,6.266589
0.020000,5.191138,16.164107,0.105531,0.458832,0.997461,0.000000,6.264956
0.020000,5.200512,16.163928,0.114908,0.478781,0.997461,-0.000000,6.263252
