dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.182496,11.056511,0.000200,0.020000,1.000000,50.000000,0.001898
0.020000,5.182760,11.056511,0.000464,0.013192,-0.340415,-67.020726,0.001651
0.020000,5.183200,11.056512,0.000904,0.021991,0.439962,39.018840,0.001238
0.020000,5.183816,11.056513,0.001520,0.030797,0.440319,0.017861,0.000659
0.020000,5.184813,11.056513,0.002517,0.049858,0.953033,25.635658,6.283101
0.020000,5.187983,11.056511,0.005687,0.158513,5.432753,223.986041,6.282190
0.020000,5.191729,11.056505,0.009433,0.187300,1.439324,-199.671484,6.281114
0.020000,5.196056,11.056494,0.013759,0.216322,1.451137,0.590671,6.279869
0.020000,5.200961,11.056474,0.018665,0.245255,1.446632,-0.225246,6.278455
0.020000,5.206446,11.056444,0.024150,0.274253,1.449882,0.162507,6.276873
0.020000,5.212512,11.056400,0.030216,0.303332,1.453983,0.205010,6.275120
0.020000,5.219162,11.056340,0.036866,0.332489,1.457839,0.192833,6.273195
0.020000,5.226396,11.056260,0.044100,0.361718,1.461451,0.180587,6.271097
0.020000,5.234215,11.056157,0.051921,0.391014,1.464817,0.168278,6.268825
0.020000,5.242622,11.056026,0.060328,0.420373,1.467935,0.155912,6.266377
0.020000,5.251616,11.055863,0.069324,0.449789,1.470805,0.143493,6.263752
0.020000,5.261200,11.055663,0.078910,0.479324,1.476758,0.297684,6.260947
0.020000,5.271378,11.055422,0.089090,0.509002,1.483876,0.355886,6.257962
0.020000,5.282148,11.055133,0.099864,0.538692,1.484507,0.031523,6.254793
0.020000,5.293513,11.054791,0.111235,0.568542,1.492502,0.399782,6.251440
0.020000,5.305477,11.054390,0.123206,0.598529,1.499341,0.341967,6.247900
0.020000,5.318040,11.053923,0.135777,0.628570,1.502071,0.136485,6.244171
0.020000,5.331204,11.053383,0.148952,0.658751,1.509061,0.349497,6.240251
0.020000,5.344971,11.052763,0.162733,0.689065,1.515679,0.330872,6.236137
0.020000,5.359344,11.052056,0.177124,0.719503,1.521915,0.311844,6.231827
0.020000,5.374324,11.051252,0.192125,0.750059,1.527763,0.292397,6.227319
0.020000,5.389912,11.050343,0.207739,0.780732,1.533666,0.295129,6.222610
0.020000,5.406113,11.049321,0.223973,0.811660,1.546379,0.635666,6.217697
0.020000,5.422925,11.048175,0.240824,0.842555,1.544778,-0.080085,6.212578
0.020000,5.440353,11.046896,0.258298,0.873741,1.559311,0.726678,6.207250
0.020000,5.458396,11.045473,0.276397,0.904943,1.560070,0.037935,6.201710
0.020000,5.477056,11.043895,0.295124,0.936350,1.570355,0.514269,6.195957
0.020000,5.496336,11.042151,0.314483,0.967930,1.579020,0.433234,6.189987
0.020000,5.516235,11.040229,0.334475,0.999596,1.583314,0.214691,6.183797
0.020000,5.536755,11.038116,0.355103,1.031404,1.590391,0.353886,6.177386
0.020000,5.557895,11.035800,0.376370,1.063357,1.597627,0.361792,6.170750
0.020000,5.579658,11.033268,0.398280,1.095491,1.606717,0.454472,6.163886
0.020000,5.602042,11.030504,0.420833,1.127667,1.608793,0.103823,6.156794
0.020000,5.625046,11.027495,0.444033,1.159990,1.616157,0.368204,6.149470
0.020000,5.648669,11.024227,0.467882,1.192447,1.622816,0.332947,6.141912
0.020000,5.672912,11.020682,0.492382,1.225001,1.627715,0.244936,6.134119
0.020000,5.697770,11.016847,0.517534,1.257613,1.630600,0.144264,6.126088
0.020000,5.723242,11.012704,0.543341,1.290327,1.635684,0.254182,6.117819
0.020000,5.749324,11.008237,0.569803,1.323114,1.639378,0.184710,6.109310
0.020000,5.776014,11.003429,0.596922,1.355947,1.641637,0.112931,6.100560
0.020000,5.803305,10.998262,0.624698,1.388795,1.642414,0.038887,6.091568
