dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.186540,8.926515,0.000200,0.020000,1.000000,50.000000,0.001898
0.020000,5.186276,8.926514,0.000464,0.013192,-0.340415,-67.020726,0.001651
0.020000,5.185836,8.926514,0.000904,0.021991,0.439962,39.018840,0.001238
0.020000,5.185220,8.926513,0.001520,0.030797,0.440319,0.017861,0.000659
0.020000,5.184633,8.926513,0.002107,0.029376,-0.071075,-25.569726,6.283101
0.020000,5.185864,8.926512,0.003338,0.061558,1.609121,84.009793,6.282190
0.020000,5.187317,8.926510,0.004791,0.072629,0.553554,-52.778332,6.281114
0.020000,5.188991,8.926505,0.006466,0.083738,0.555439,0.094226,6.279869
0.020000,5.190886,8.926498,0.008361,0.094750,0.550586,-0.242615,6.278455
0.020000,5.193001,8.926486,0.010475,0.105717,0.548334,-0.112610,6.276873
0.020000,5.195333,8.926469,0.012808,0.116637,0.546002,-0.116609,6.275120
0.020000,5.197883,8.926446,0.015358,0.127500,0.543170,-0.141578,6.273195
0.020000,5.200649,8.926416,0.018124,0.138297,0.539845,-0.166289,6.271097
0.020000,5.203629,8.926376,0.021104,0.149018,0.536031,-0.190668,6.268825
0.020000,5.206822,8.926327,0.024297,0.159652,0.531739,-0.214640,6.266377
0.020000,5.210225,8.926265,0.027701,0.170192,0.526976,-0.238124,6.263752
0.020000,5.213837,8.926190,0.031314,0.180652,0.523009,-0.198352,6.260947
0.020000,5.217657,8.926099,0.035135,0.191034,0.519105,-0.195201,6.257962
0.020000,5.221681,8.925991,0.039160,0.201282,0.512412,-0.334641,6.254793
0.020000,5.225908,8.925864,0.043389,0.211445,0.508139,-0.213650,6.251440
0.020000,5.230336,8.925716,0.047819,0.221507,0.503090,-0.252460,6.247900
0.020000,5.234961,8.925544,0.052448,0.231431,0.496206,-0.344213,6.244171
0.020000,5.239782,8.925346,0.057273,0.241243,0.490602,-0.280184,6.240251
0.020000,5.244795,8.925120,0.062291,0.250935,0.484575,-0.301344,6.236137
0.020000,5.249999,8.924864,0.067501,0.260498,0.478148,-0.321335,6.231827
0.020000,5.255390,8.924575,0.072900,0.269924,0.471348,-0.340005,6.227319
0.020000,5.260965,8.924250,0.078484,0.279212,0.464366,-0.349130,6.222610
0.020000,5.266721,8.923887,0.084252,0.288404,0.459624,-0.237066,6.217697
0.020000,5.272655,8.923482,0.090200,0.297397,0.449646,-0.498902,6.212578
0.020000,5.278765,8.923034,0.096326,0.306303,0.445278,-0.218396,6.207250
0.020000,5.285046,8.922538,0.102627,0.315023,0.435991,-0.464355,6.201710
0.020000,5.291495,8.921993,0.109099,0.323623,0.430025,-0.298329,6.195957
0.020000,5.298110,8.921395,0.115741,0.332093,0.423499,-0.326286,6.189987
0.020000,5.304887,8.920740,0.122549,0.340404,0.415555,-0.397198,6.183797
0.020000,5.311822,8.920026,0.129521,0.348579,0.408717,-0.341917,6.177386
0.020000,5.318912,8.919250,0.136653,0.356621,0.402135,-0.329096,6.170750
0.020000,5.326154,8.918407,0.143944,0.364550,0.396438,-0.284839,6.163886
0.020000,5.333544,8.917494,0.151391,0.372325,0.388760,-0.383882,6.156794
0.020000,5.341080,8.916509,0.158990,0.379991,0.383286,-0.273713,6.149470
0.020000,5.348758,8.915447,0.166741,0.387553,0.378092,-0.259707,6.141912
0.020000,5.356575,8.914304,0.174642,0.395012,0.372939,-0.257636,6.134119
0.020000,5.364528,8.913077,0.182689,0.402369,0.367866,-0.253648,6.126088
0.020000,5.372615,8.911762,0.190882,0.409656,0.364332,-0.176707,6.117819
0.020000,5.380833,8.910354,0.199220,0.416881,0.361292,-0.152029,6.109310
0.020000,5.389180,8.908850,0.207701,0.424059,0.358860,-0.121558,6.100560
0.020000,5.397653,8.907246,0.216325,0.431202,0.357160,-0.085040,6.091568
0.020000,5.406252,8.905537,0.225092,0.438328,0.356315,-0.042256,6.082335
0.020000,5.414974,8.903718,0.234001,0.445492,0.358212,0.094850,6.072861
0.020000,5.423818,8.901785,0.243055,0.452662,0.358483,0.013561,6.063146
0.020000,5.432785,8.899733,0.252253,0.459928,0.363326,0.242153,6.053191
0.020000,5.441873,8.897556,0.261598,0.467263,0.366750,0.171216,6.042999
0.020000,5.451083,8.895249,0.271093,0.474729,0.373265,0.325725,6.032572
0.020000,5.460416,8.892807,0.280740,0.482354,0.381254,0.399476,6.021912
0.020000,5.469873,8.890223,0.290544,0.490171,0.390858,0.480207,6.011023
0.020000,5.479456,8.887492,0.300508,0.498215,0.402212,0.567689,5.999910
