dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.998849,9.898678,0.000200,0.020000,1.000000,50.000000,0.001762
0.020000,4.998849,9.898678,0.000800,0.040000,1.000000,0.000000,0.001264
0.020000,4.998849,9.898678,0.001800,0.060000,1.000000,-0.000000,0.000433
0.020000,4.999728,9.898678,0.003200,0.080000,1.000000,0.000000,6.282454
0.020000,5.001528,9.898675,0.005000,0.100000,1.000000,0.000000,6.280954
0.020000,5.003728,9.898668,0.007200,0.120000,1.000000,-0.000000,6.279116
0.020000,5.006328,9.898655,0.009800,0.140000,1.000000,0.000000,6.276938
0.020000,5.009328,9.898632,0.012800,0.160000,1.000000,-0.000000,6.274417
0.020000,5.012728,9.898598,0.016200,0.180000,1.000000,0.000000,6.271548
0.020000,5.016528,9.898547,0.020000,0.200000,1.000000,0.000000,6.268328
0.020000,5.020727,9.898477,0.024200,0.220000,1.000000,-0.000000,6.264751
0.020000,5.025326,9.898384,0.028800,0.240000,1.000000,0.000000,6.260814
0.020000,5.030325,9.898261,0.033800,0.260000,1.000000,0.000000,6.256511
0.020000,5.035722,9.898104,0.039200,0.280000,1.000000,0.000000,6.251835
0.020000,5.041519,9.897908,0.045000,0.300000,1.000000,-0.000000,6.246780
0.020000,5.047714,9.897665,0.051200,0.320000,1.000000,0.000000,6.241340
0.020000,5.054308,9.897370,0.057800,0.340000,1.000000,0.000000,6.235507
0.020000,5.061299,9.897015,0.064800,0.360000,1.000000,-0.000000,6.229274
0.020000,5.068686,9.896592,0.072200,0.380000,1.000000,0.000000,6.222633
0.020000,5.076470,9.896092,0.080000,0.400000,1.000000,0.000000,6.215575
0.020000,5.084649,9.895508,0.088200,0.420000,1.000000,-0.000000,6.208093
0.020000,5.093222,9.894828,0.096800,0.440000,1.000000,0.000000,6.200178
0.020000,5.102188,9.894045,0.105800,0.460000,1.000000,0.000000,6.191821
0.020000,5.111545,9.893146,0.115200,0.480000,1.000000,-0.000000,6.183013
0.020000,5.121291,9.892121,0.125000,0.500000,1.000000,0.000000,6.173747
0.020000,5.131425,9.890958,0.135200,0.520000,1.000000,0.000000,6.164012
0.020000,5.141943,9.889644,0.145800,0.540000,1.000000,0.000000,6.153802
0.020000,5.152843,9.888166,0.156800,0.560000,1.000000,0.000000,6.143108
0.020000,5.164122,9.886512,0.168200,0.580000,1.000000,-0.000000,6.131924
0.020000,5.175777,9.884666,0.180000,0.600000,1.000000,0.000000,6.120242
0.020000,5.187803,9.882613,0.192200,0.620000,1.000000,0.000000,6.108056
0.020000,5.200196,9.880339,0.204800,0.640000,1.000000,0.000000,6.095364
0.020000,5.212951,9.877828,0.217800,0.660000,1.000000,0.000000,6.082161
0.020000,5.226063,9.875062,0.231200,0.680000,1.000000,0.000000,6.068446
0.020000,5.239524,9.872026,0.245000,0.700000,1.000000,-0.000000,6.054219
0.020000,5.253329,9.868701,0.259200,0.720000,1.000000,0.000000,6.039484
0.020000,5.267471,9.865071,0.273800,0.740000,1.000000,0.000000,6.024244
0.020000,5.281940,9.861116,0.288800,0.760000,1.000000,0.000000,6.008508
0.020000,5.296728,9.856819,0.304200,0.780000,1.000000,0.000000,5.992286
0.020000,5.311826,9.852161,0.320000,0.800000,1.000000,0.000000,5.975592
0.020000,5.327222,9.847124,0.336200,0.820000,1.000000,-0.000000,5.958443
0.020000,5.342907,9.841690,0.352800,0.840000,1.000000,0.000000,5.940861
0.020000,5.358869,9.835840,0.369800,0.860000,1.000000,0.000000,5.922870
0.020000,5.375094,9.829556,0.387200,0.880000,1.000000,0.000000,5.904499
0.020000,5.391570,9.822820,0.405000,0.900000,1.000000,0.000000,5.885782
0.020000,5.408284,9.815617,0.423200,0.920000,1.000000,0.000000,5.866754
0.020000,5.425221,9.807930,0.441800,0.940000,1.000000,-0.000000,5.847458
0.020000,5.442366,9.799742,0.460800,0.960000,1.000000,0.000000,5.827938
0.020000,5.459705,9.791041,0.480200,0.980000,1.000000,0.000000,5.808242
0.020000,5.477222,9.781812,0.500000,1.000000,1.000000,0.000000,5.788422
0.020000,5.494903,9.772044,0.520200,1.020000,1.000000,0.000000,5.768532
0.020000,5.512732,9.761726,0.540800,1.040000,1.000000,0.000000,5.748628
0.020000,5.530694,9.750848,0.561800,1.060000,1.000000,0.000000,5.728769
0.020000,5.548776,9.739402,0.583200,1.080000,1.000000,0.000000,5.709014
0.020000,5.566962,9.727382,0.605000,1.100000,1.000000,0.000000,5.689424
0.020000,5.585241,9.714784,0.627200,1.120000,1.000000,0.000000,5.670057
0.020000,5.603598,9.701602,0.649800,1.140000,1.000000,-0.000000,5.650973
0.020000,5.622024,9.687837,0.672800,1.160000,1.000000,0.000000,5.632230
0.020000,5.640506,9.673487,0.696200,1.180000,1.000000,0.000000,5.613884
0.020000,5.659038,9.658553,0.720000,1.200000,1.000000,0.000000,5.595990
0.020000,5.677609,9.643038,0.744200,1.220000,1.000000,0.000000,5.578599
0.020000,5.696215,9.626946,0.768800,1.240000,1.000000,0.000000,5.561760
0.020000,5.714851,9.610281,0.793800,1.260000,1.000000,0.000000,5.545519
0.020000,5.733513,9.593051,0.819200,1.280000,1.000000,0.000000,5.529919
0.020000,5.752199,9.575262,0.845000,1.300000,1.000000,0.000000,5.515001
0.020000,5.770910,9.556922,0.871200,1.320000,1.000000,0.000000,5.500802
0.020000,5.789647,9.538042,0.897800,1.340000,1.000000,0.000000,5.487358
0.020000,5.808415,9.518632,0.924800,1.360000,1.000000,0.000000,5.474701
0.020000,5.827218,9.498702,0.952200,1.380000,1.000000,-0.000000,5.462863
0.020000,5.846063,9.478265,0.980000,1.400000,1.000000,0.000000,5.451872
0.020000,5.864960,9.457333,1.008200,1.420000,1.000000,0.000000,5.441757
