dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000726,8.833680,0.000200,0.020000,1.000000,50.000000,0.001762
0.020000,5.000195,8.833679,0.000731,0.026535,0.326770,-33.661521,0.001264
0.020000,4.999310,8.833678,0.001616,0.044247,0.885575,27.940270,0.000433
0.020000,4.998949,8.833678,0.001976,0.018042,-1.310251,-109.791310,6.282454
0.020000,4.999152,8.833678,0.002179,0.010133,-0.395454,45.739844,6.280954
0.020000,4.999395,8.833677,0.002422,0.012148,0.100744,24.809927,6.279116
0.020000,4.999675,8.833676,0.002703,0.014021,0.093644,-0.355005,6.276938
0.020000,4.999990,8.833673,0.003017,0.015724,0.085179,-0.423261,6.274417
0.020000,5.000334,8.833670,0.003362,0.017232,0.075375,-0.490200,6.271548
0.020000,5.000705,8.833665,0.003732,0.018527,0.064749,-0.531270,6.268328
0.020000,5.001096,8.833658,0.004124,0.019572,0.052285,-0.623221,6.264751
0.020000,5.001503,8.833650,0.004531,0.020351,0.038927,-0.667910,6.260814
0.020000,5.001920,8.833640,0.004947,0.020837,0.024288,-0.731948,6.256511
0.020000,5.002340,8.833628,0.005367,0.021006,0.008458,-0.791514,6.251835
0.020000,5.002756,8.833614,0.005784,0.020838,-0.008376,-0.841672,6.246780
0.020000,5.003162,8.833598,0.006190,0.020307,-0.026556,-0.908988,6.241340
0.020000,5.003550,8.833580,0.006578,0.019395,-0.045586,-0.951514,6.235507
0.020000,5.003911,8.833562,0.006940,0.018083,-0.065600,-1.000724,6.229274
0.020000,5.004237,8.833543,0.007267,0.016353,-0.086524,-1.046191,6.222633
0.020000,5.004520,8.833525,0.007551,0.014190,-0.108152,-1.081391,6.215575
0.020000,5.004751,8.833509,0.007782,0.011580,-0.130479,-1.116357,6.208093
0.020000,5.004921,8.833495,0.007953,0.008516,-0.153207,-1.136391,6.200178
0.020000,5.005021,8.833487,0.008053,0.004990,-0.176322,-1.155747,6.191821
0.020000,5.005041,8.833485,0.008073,0.001000,-0.199489,-1.158339,6.183013
0.020000,5.004972,8.833492,0.008142,0.003451,0.122529,16.100872,6.173747
0.020000,5.004806,8.833511,0.008309,0.008353,0.245143,6.130737,6.164012
0.020000,5.004534,8.833545,0.008582,0.013693,0.267001,1.092874,6.153802
0.020000,5.004149,8.833598,0.008971,0.019449,0.287768,1.038357,6.143108
0.020000,5.003642,8.833672,0.009483,0.025589,0.307034,0.963307,6.131924
0.020000,5.003009,8.833773,0.010125,0.032077,0.324356,0.866096,6.120242
0.020000,5.002243,8.833903,0.010902,0.038860,0.339173,0.740830,6.108056
0.020000,5.001340,8.834069,0.011820,0.045879,0.350967,0.589691,6.095364
0.020000,5.000299,8.834274,0.012881,0.053062,0.359124,0.407892,6.082161
0.020000,4.999119,8.834523,0.014087,0.060325,0.363174,0.202497,6.068446
0.020000,4.997800,8.834821,0.015439,0.067565,0.361965,-0.060450,6.054219
0.020000,4.996349,8.835171,0.016932,0.074671,0.355301,-0.333219,6.039484
0.020000,4.994769,8.835576,0.018562,0.081513,0.342133,-0.658387,6.024244
0.020000,4.993073,8.836040,0.020321,0.087948,0.321758,-1.018759,6.008508
0.020000,4.991271,8.836564,0.022198,0.093820,0.293580,-1.408891,5.992286
0.020000,4.989380,8.837147,0.024177,0.098953,0.256665,-1.845756,5.975592
0.020000,4.987419,8.837789,0.026240,0.103164,0.210520,-2.307244,5.958443
0.020000,4.985411,8.838484,0.028365,0.106254,0.154518,-2.800115,5.940861
0.020000,4.983382,8.839228,0.030525,0.108017,0.088157,-3.318024,5.922870
0.020000,4.981364,8.840010,0.032690,0.108241,0.011195,-3.848141,5.904499
0.020000,4.979388,8.840817,0.034824,0.106709,-0.076596,-4.389541,5.885782
0.020000,4.977492,8.841634,0.036889,0.103206,-0.175153,-4.927860,5.866754
0.020000,4.975716,8.842440,0.038839,0.097520,-0.284293,-5.457006,5.847458
0.020000,4.974102,8.843210,0.040628,0.089451,-0.403466,-5.958603,5.827938
