dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.090528,17.230015,0.000199,0.019949,0.997461,49.873051,0.001085
0.020000,5.090646,17.230015,0.000317,0.005892,-0.702865,-85.016282,0.000975
0.020000,5.090842,17.230015,0.000514,0.009818,0.196323,44.959364,0.000790
0.020000,5.091117,17.230016,0.000789,0.013743,0.196210,-0.005626,0.000532
0.020000,5.091470,17.230016,0.001142,0.017664,0.196052,-0.007887,0.000200
0.020000,5.093012,17.230016,0.002683,0.077075,2.970572,138.725990,6.282980
0.020000,5.096115,17.230014,0.005787,0.155170,3.904741,46.708461,6.282502
0.020000,5.099695,17.230011,0.009367,0.179017,1.192378,-135.618154,6.281949
0.020000,5.103753,17.230004,0.013425,0.202886,1.193425,0.052340,6.281324
0.020000,5.108288,17.229994,0.017959,0.226727,1.192032,-0.069638,6.280625
0.020000,5.113299,17.229980,0.022971,0.250560,1.191677,-0.017758,6.279853
0.020000,5.118787,17.229959,0.028459,0.274412,1.192601,0.046208,6.279008
0.020000,5.124752,17.229931,0.034423,0.298232,1.190986,-0.080747,6.278091
0.020000,5.131192,17.229895,0.040864,0.322046,1.190711,-0.013749,6.277100
0.020000,5.138109,17.229850,0.047781,0.345853,1.190326,-0.019260,6.276038
0.020000,5.145502,17.229793,0.055174,0.369649,1.189831,-0.024748,6.274903
0.020000,5.153370,17.229723,0.063043,0.393434,1.189227,-0.030211,6.273696
0.020000,5.161714,17.229638,0.071387,0.417204,1.188514,-0.035646,6.272417
0.020000,5.170533,17.229537,0.080206,0.440958,1.187693,-0.041052,6.271067
0.020000,5.179826,17.229418,0.089500,0.464709,1.187535,-0.007895,6.269645
0.020000,5.189594,17.229278,0.099269,0.488441,1.186614,-0.046085,6.268153
0.020000,5.199835,17.229116,0.109512,0.512139,1.184877,-0.086831,6.266589
0.020000,5.210551,17.228930,0.120229,0.535850,1.185553,0.033797,6.264956
0.020000,5.221739,17.228716,0.131419,0.559507,1.182858,-0.134731,6.263252
0.020000,5.233400,17.228474,0.143083,0.583181,1.183733,0.043737,6.261479
0.020000,5.245533,17.228199,0.155219,0.606804,1.181124,-0.130443,6.259637
0.020000,5.258137,17.227890,0.167827,0.630410,1.180307,-0.040873,6.257726
0.020000,5.271213,17.227544,0.180907,0.654011,1.180047,-0.012998,6.255747
0.020000,5.284759,17.227158,0.194459,0.677572,1.178054,-0.099610,6.253699
0.020000,5.298775,17.226730,0.208481,0.701107,1.176746,-0.065425,6.251585
0.020000,5.313259,17.226257,0.222973,0.724615,1.175404,-0.067098,6.249403
0.020000,5.328212,17.225734,0.237935,0.748094,1.173931,-0.073630,6.247155
0.020000,5.343632,17.225161,0.253366,0.771540,1.172330,-0.080087,6.244842
0.020000,5.359519,17.224532,0.269265,0.794965,1.171243,-0.054353,6.242463
0.020000,5.375871,17.223846,0.285632,0.818350,1.169233,-0.100457,6.240020
0.020000,5.392689,17.223099,0.302466,0.841690,1.166995,-0.111925,6.237513
0.020000,5.409970,17.222286,0.319766,0.865005,1.165757,-0.061909,6.234943
0.020000,5.427713,17.221406,0.337532,0.888277,1.163604,-0.107660,6.232311
0.020000,5.445919,17.220455,0.355762,0.911507,1.161522,-0.104072,6.229616
0.020000,5.464584,17.219428,0.374456,0.934692,1.159228,-0.114687,6.226861
0.020000,5.483709,17.218323,0.393612,0.957846,1.157721,-0.075374,6.224046
0.020000,5.503292,17.217135,0.413231,0.980939,1.154625,-0.154805,6.221172
0.020000,5.523331,17.215861,0.433311,1.003987,1.152397,-0.111383,6.218240
0.020000,5.543826,17.214498,0.453851,1.026987,1.150009,-0.119404,6.215250
0.020000,5.564774,17.213040,0.474849,1.049936,1.147464,-0.127268,6.212204
0.020000,5.586174,17.211485,0.496306,1.072831,1.144764,-0.134971,6.209103
0.020000,5.608025,17.209829,0.518219,1.095670,1.141914,-0.142510,6.205948
0.020000,5.630324,17.208067,0.540588,1.118448,1.138916,-0.149883,6.202739
0.020000,5.653071,17.206196,0.563412,1.141164,1.135775,-0.157088,6.199478
0.020000,5.676262,17.204211,0.586688,1.163813,1.132492,-0.164123,6.196167
0.020000,5.699897,17.202109,0.610416,1.186412,1.129938,-0.127713,6.192806
0.020000,5.723973,17.199886,0.634595,1.208929,1.125833,-0.205252,6.189397
0.020000,5.748489,17.197537,0.659222,1.231382,1.122677,-0.157815,6.185940
0.020000,5.773441,17.195059,0.684298,1.253760,1.118863,-0.190667,6.182438
0.020000,5.798829,17.192447,0.709819,1.276070,1.115538,-0.166261,6.178892
0.020000,5.824648,17.189697,0.735785,1.298294,1.111180,-0.217927,6.175303
0.020000,5.850899,17.186806,0.762194,1.320441,1.107368,-0.190556,6.171673
0.020000,5.877577,17.183769,0.789044,1.342514,1.103609,-0.187988,6.168003
0.020000,5.904680,17.180583,0.816334,1.364497,1.099155,-0.222682,6.164294
0.020000,5.932206,17.177242,0.844062,1.386392,1.094785,-0.218492,6.160550
0.020000,5.960152,17.173744,0.872226,1.408199,1.090344,-0.222058,6.156770
0.020000,5.988515,17.170084,0.900824,1.429916,1.085822,-0.226090,6.152957
0.020000,6.017292,17.166259,0.929855,1.451542,1.081324,-0.224886,6.149112
